,intersection_name,valid_days_for_AADPT,AADPT,ratio_N_true,ratio_S_true,ratio_W_true,ratio_E_true,valid_stc_days,ratio_avg_err_LB,ratio_avg_err_mean,ratio_avg_err_UB,ratio_avg_err_85th_percentile
0,Thompson Road and Laurier Avenue,361,228.03658995019362,0.20230572385504153,0.14838604461073945,0.3257026262997538,0.3236056052344653,77,-0.034,0.201,0.436,0.2951498658256297
1,Thompson Road and Main Street,305,660.8121434436009,0.18697074067963723,0.3242471221122006,0.26617224538374107,0.22260989182442106,56,0.02,0.1413,0.2625,0.22004196228783718
2,Ontario Street South and Childs Drive,365,104.90717336820313,0.20326578456898017,0.11009674093172632,0.25461064168426406,0.43202683281502946,78,0.0401,0.2051,0.3702,0.3105360435855722
3,Ontario Street South and Pine Street,364,187.20072372961388,0.4233038701730765,0.12897364226095753,0.20660342801345158,0.2411190595525143,78,0.03,0.1373,0.2445,0.21696876638253484
4,Main Street East and Ontario Street North,363,378.5284731301606,0.23946680106941526,0.31267685645821963,0.1991306475117923,0.24872569496057276,78,0.0341,0.117,0.1999,0.16834672898758643
5,Bronte Street North and Main Street West,357,183.47820683956263,0.11235125771032947,0.5556778580675256,0.09350039525785989,0.2384704889642852,78,-0.137,0.4327,1.0023,0.8279316105752758
6,Laurier Avenue and Ontario Street South,191,317.30105578422916,0.28340628090111586,0.3648985024845879,0.18205391836673226,0.16964129824756385,45,0.0552,0.16,0.2648,0.22914295231360016
7,Thompson Road and Drew Centre,152,764.7719841269841,0.32995476294573534,0.13250292363311525,0.23075214762113444,0.30679016580001495,39,0.019,0.1191,0.2192,0.16133277380501337
8,Louis St Laurent Avenue and Farmstead Drive,124,431.9713354353627,0.23002345643015165,0.2598873182748667,0.40194012822459796,0.10814909707038364,39,0.0455,0.1481,0.2507,0.2253568601374888
9,Main Street E and Harris / Pearson,76,718.3558730158729,0.12229093684387764,0.23266997256963762,0.3444527870299949,0.30058630355648996,20,-0.207,0.159,0.525,0.19947889103302133
10,Main Street East and Maple / Sinclair,49,148.97770090118914,0.32223920767958425,0.3334965054007094,0.16152255717665837,0.18274172974304795,12,0.0131,0.1649,0.3167,0.26491424435612987
